Conductivity,Cu,Cu-327nm_predict,Ni-232nm_predict,Zn-214nm_predict,Pb-406nm_predict
4000,20,19847.87373,5480.929352,40942.28545,30206.9638
4000,20,19488.42947,5221.066206,42351.00026,30252.94073
4000,20,19854.51578,5187.970674,41821.47685,28358.07842
4000,20,19721.39473,5221.703055,42378.45967,29158.50235
4000,20,21077.49108,6044.28015,41939.37048,27891.05977
4000,20,20082.0358,5345.627764,42185.94781,28192.2939
4000,20,19502.61617,4543.06717,41709.55813,28780.33299
4000,20,20920.41919,5532.543973,40025.01962,28535.14281
4000,20,21199.40192,5588.09009,42432.49889,29358.64504
4000,20,20523.86972,5113.813119,42324.53008,28990.47172
4000,20,19399.28109,5149.254265,43248.04119,27828.55973
4000,20,20456.75815,5117.020492,41763.79219,27444.28506
4000,20,20436.31496,5285.89186,42038.54467,28029.04869
4000,20,18247.56983,4438.915373,41898.14851,27773.9603
4000,20,19366.17125,4730.330305,41766.18733,28701.31871
4000,20,21215.00796,5449.090078,41420.17831,27360.61187
4000,20,20442.44581,5441.244073,40631.02304,27383.82473
4000,20,21487.20344,6025.405402,41939.7869,27713.5022
4000,20,20312.67882,5599.789483,41915.28734,27106.55316
3000,7.5,6534.135832,226.5543524,26407.03595,3635.358092
3000,7.5,6408.819742,235.0875294,26337.73716,3344.83032
3000,7.5,6521.423937,224.8420114,26627.35135,3545.397431
3000,7.5,6509.885654,144.8755211,26936.12797,3700.94466
3000,7.5,6400.506786,238.4775386,26198.49956,3562.168306
3000,7.5,6575.953867,212.655379,26197.17431,3284.873612
3000,7.5,6598.06817,150.8621585,26791.25532,3424.38584
3000,7.5,6781.758895,222.6064399,26599.72952,3586.370649
3000,7.5,6795.17675,221.5594063,27025.12338,3266.586549
3000,7.5,6702.897806,240.3718378,26158.69054,3190.077663
3000,15,8470.136826,735.1814566,35880.22855,5211.437957
3000,15,8348.715985,574.2269845,36351.75602,5184.813836
3000,15,8454.71122,773.6735949,36655.13166,5318.844776
3000,15,8549.292549,801.0898831,37637.782,5415.665016
3000,15,8601.831142,791.3616521,35901.02668,5227.566318
3000,15,8376.922661,728.3644569,37156.10128,5443.005742
3000,15,8202.882164,780.6507963,36940.38238,5491.745104
3000,15,8719.340133,683.3327844,38043.75345,5640.802211
3000,15,8793.32319,892.3726728,37300.8367,5454.044866
3000,15,8908.150654,909.5697363,36386.38787,5286.84603
3250,7.5,7268.966435,324.4102991,23138.10856,3110.660084
3250,7.5,7396.192024,275.6195095,23537.7246,3200.6727
3250,7.5,7466.662087,358.0514612,23735.11079,3196.316239
3250,7.5,7464.208491,355.526722,24085.36834,3201.585577
3250,7.5,7383.593288,338.2633076,24029.85123,3472.640292
3250,7.5,7680.754795,320.4079527,23864.84571,3129.229723
3250,7.5,7707.867495,317.1498836,23799.12309,3268.543504
3250,7.5,7403.584409,368.3065678,24527.7054,3301.976747
3250,7.5,7433.646549,280.0199728,24073.72449,3453.027616
3250,7.5,7603.559455,292.3530938,25609.7352,3004.38827
3250,15,9638.867133,1203.434694,32395.35705,4997.474493
3250,15,9882.371462,1353.186335,24819.0611,3664.050503
3250,15,10533.34307,2122.681055,19007.52332,2815.265739
3250,15,9992.255594,1529.428549,28473.53289,4393.064311
3250,15,10353.8581,1785.476006,19312.68858,2803.844337
3250,15,11069.27233,2188.272418,20612.02282,2947.350068
3250,15,11332.33205,2280.87408,20389.89256,2982.690137
3250,15,11522.28117,2419.768099,19072.23494,2700.273261
3250,15,11666.6358,2431.108655,19752.46727,2572.077789
3250,15,11523.5421,2325.699613,18218.23569,2424.853428
3500,7.5,8931.144533,928.7148286,13900.85859,1768.274625
3500,7.5,8945.043613,1025.594948,12316.11269,1752.695515
3500,7.5,8970.670326,1115.896869,11948.48544,1503.095681
3500,7.5,9085.288069,1068.63871,11734.11008,1588.281583
3500,7.5,8990.792752,1150.055337,11395.24602,1529.860961
3500,7.5,9119.222987,1156.630348,11586.80147,1703.537326
3500,7.5,9510.172411,1273.649622,10932.48799,1505.851471
3500,7.5,9245.711349,1210.127744,10877.65522,1529.809112
3500,7.5,8916.911267,1060.27961,10459.17857,1403.745095
3500,7.5,8901.574398,1137.905715,10236.25346,1272.232297
3500,15,12915.38484,2580.422484,19464.81294,2885.317868
3500,15,12487.26418,2605.984074,18365.29727,2583.069591
3500,15,13662.79068,2966.819665,19758.82079,2665.705719
3500,15,13274.07365,2825.610661,20882.79386,2937.044059
3500,15,13991.94092,3055.880924,21034.43108,3395.082946
3500,15,13571.87344,2961.09236,19957.31241,2941.922971
3500,15,13752.02512,3069.943092,19835.01682,2881.370456
3500,15,13775.48775,3152.813813,20048.52109,3007.576567
3500,15,13684.42098,3127.177684,20043.78645,2803.147252
3500,15,12827.77018,2770.910905,19896.36061,2807.3114
3750,7.5,9777.433682,1269.656071,9920.927856,1492.642484
3750,7.5,9887.67657,1291.363315,10306.61255,1590.684908
3750,7.5,10044.19913,1322.7957,9863.253715,1452.400923
3750,7.5,10010.24406,1323.130878,10311.57545,1573.450461
3750,7.5,9643.029484,1222.564224,10196.84912,1491.740031
3750,7.5,9680.049933,1334.913382,10176.6219,1644.708106
3750,7.5,9396.764772,1306.708136,9976.251484,1566.173796
3750,7.5,9936.248598,1285.304928,9879.553855,1474.655481
3750,7.5,9784.600374,1348.195818,10108.26612,1551.784936
3750,7.5,10272.28945,1530.666284,10333.39737,1446.8467
3750,15,13488.54111,2928.941597,19311.4907,2800.73318
3750,15,13666.0639,3067.876833,20676.7646,3069.140673
3750,15,13711.71541,3133.39125,20297.26486,3120.788226
3750,15,13711.30969,3269.845038,20753.7701,2949.403333
3750,15,14018.81082,3133.773628,19856.73199,2887.114514
3750,15,13897.17075,3193.543062,20736.81837,2725.571927
3750,15,14591.55396,3652.573117,22058.73071,2889.514352
3750,15,13942.50656,3148.83491,21221.33646,2899.826841
3750,15,14285.14343,3311.495852,21716.65149,2902.35634
3750,15,14331.58738,3367.651479,21119.30626,2826.254631
4000,7.5,9710.455236,1344.040888,11115.23818,1567.038669
4000,7.5,9783.817979,1259.613455,11083.01819,1465.04396
4000,7.5,9827.657919,1468.656471,11693.54039,1708.844143
4000,7.5,10010.65343,1418.949063,12254.2508,1690.239005
4000,7.5,10462.40807,1615.225212,12662.59083,1971.825823
4000,7.5,10007.95631,1548.758292,12545.05218,1593.044915
4000,7.5,10010.42401,1414.193003,12176.68396,1640.225017
4000,7.5,9997.028191,1551.730982,12131.095,1735.027219
4000,7.5,10292.04998,1613.46026,12606.64653,1589.052566
4000,7.5,10307.59555,1528.841744,14040.97203,2044.635945
4000,15,14633.05881,2865.448597,21414.07599,2897.381931
4000,15,14518.61859,2963.95465,21291.45799,2925.896088
4000,15,14860.21887,3301.722737,22697.64889,3174.540923
4000,15,14479.28311,2999.532701,22679.47267,3264.023571
4000,15,15402.60174,3365.896967,22691.76533,3330.441228
4000,15,14994.66391,3299.776342,22584.2242,3185.27746
4000,15,15304.39038,3253.726778,23313.79078,3310.038815
4000,15,15335.24225,3361.45178,22777.42761,3424.153817
4000,15,14931.88472,3539.254436,23025.63098,3120.539161
4000,15,15922.43474,4028.00157,24837.42505,3175.385431
